name,school,weight,year,seed,wrestler_id,participant_id
glenn|stafford,cornell (ny),175,1929,0.0,42443.0,3153eba3-a78f-41ea-8877-d82184decaef
carl|dougovito,michigan,175,1929,0.0,19037.0,03c8d20b-93ae-424a-a11f-fa8d0c5838fa
leland|heywood,wisconsin,175,1929,0.0,70039.0,78e1287a-6add-4e54-a240-f5683e5e0ff0
earl|mccready,oklahoma state,450,1929,0.0,35093.0,aed052cd-6ce0-4162-b448-1eecab2ec993
selmer|swenson,wisconsin,450,1929,0.0,97909.0,14993c2b-3d59-469f-bd1d-27045ffb0f16
russ|fairall,ohio state,450,1929,0.0,94226.0,bbdbfd85-7325-4ac6-b0c5-fbec9483120d
joe|sapora,illinois,115,1930,0.0,56230.0,9e974689-5701-4009-9dda-a9db0fe9bbdb
robert|axford,massachusetts tech,115,1930,0.0,92340.0,01f110b8-de82-450e-badf-db4bd69ae17f
marvin|leach,oklahoma,115,1930,0.0,76213.0,c12a0ddf-c042-4e6e-845e-9ec20d6dc920
bobby|pearce,oklahoma state,115,1930,0.0,13472.0,9d75e018-2a07-4a1e-a361-cebd4a84b759
laurance|mantooth,oklahoma,125,1930,0.0,69423.0,3b756975-e896-4fbf-af6d-52f5a17ddbd6
lyle|morford,cornell (ia),125,1930,0.0,72770.0,58c2b530-f7fb-498a-b441-1f4e9cd11a32
howard|cline,oklahoma state,125,1930,0.0,45215.0,7c6426cd-e16d-47b6-8ca3-201a6f3fcb4b
frank|stella,tufts (ma),125,1930,0.0,39769.0,9cfff017-8273-4d39-a4c2-941759a36b9a
george|lafavour,northwestern (il),125,1930,0.0,41797.0,b7abccbb-306c-4abd-9225-ec44d8885eed
colby|graves,virginia tech,125,1930,0.0,24311.0,e6ee7ab0-4c10-4d84-8f92-ec99fd04b2b7
hugh|linn,iowa state,135,1930,0.0,45313.0,f4fc9f6d-c08d-4e8f-8002-33e313e3beb3
louis|bauerle,illinois,135,1930,0.0,71939.0,be3f9a77-9c69-4c7b-aaf3-a10907f25de1
sherman|stephenson,oklahoma state,135,1930,0.0,99250.0,7a6ad68d-dac8-4e59-a0ad-912ffdfad2c6
norman|stoner,michigan state,135,1930,0.0,85705.0,7aa59e3c-7011-4738-afb9-47efff77a9c6
george|feild,virginia military,135,1930,0.0,41731.0,f83005b0-5eb2-4fb6-9740-f8bff1f11ecc
joe|fickel,kansas state,135,1930,0.0,55703.0,2f675671-4f02-476e-a2a0-7f52fac0df1a
hardie|lewis,oklahoma,145,1930,0.0,44238.0,3ae0ddc8-4166-4b25-9238-bbc9e5b0a50c
arlie 'aj'|tomlinson,oklahoma state,145,1930,0.0,8361.0,6b656a9e-7b4a-4525-8261-5fc72ba50b8c
dick|cole,iowa state,145,1930,0.0,32458.0,9312344d-ff10-4e19-8154-71efbf08e816
elmer|carpenter,syracuse (ny),145,1930,0.0,36545.0,d57749c8-7d8c-4582-ba07-9bc682108ba2
bliss|sargeant jr.,lafayette (pa),145,1930,0.0,12631.0,04a7ba01-ec03-4845-a481-a1b91373708b
william 'harry'|dyer,chicago (il),145,1930,0.0,110818.0,2e455221-6dce-4662-9852-75c197664665
robert|garrigan,northwestern (il),145,1930,0.0,92470.0,3ac6aaa9-2a80-4e1b-9300-66e5334f6d9d
james 'otto'|kelly,michigan,155,1930,0.0,49029.0,46aeaae0-79a7-4b59-a102-63d9521d2b55
bryan|watkins,central oklahoma,155,1930,0.0,17495.0,55bb5825-53e5-41c1-a080-be50e841fc91
phil|berry,oklahoma,155,1930,0.0,88276.0,2a68d5d4-52d5-4867-844c-355758c2e0f8
woods|talman,virginia military,155,1930,0.0,111214.0,62ed375d-36be-42a1-a98a-009a892eade5
jack|vanbebber,oklahoma state,165,1930,0.0,47233.0,eff4169a-9274-45e6-a13b-b23cc4f558ef
sam|church,kansas,165,1930,0.0,95755.0,474abbda-8b7a-4729-89cd-8c263598f477
joe|solano,harvard (ma),165,1930,0.0,56281.0,d823588b-21c1-4a36-9d80-cfd6ff20a36c
george|belshaw,indiana (in),165,1930,0.0,41655.0,11d0e559-3c17-4cdd-a339-4d243d05ac4b
jean|tonkoff,illinois,165,1930,0.0,51710.0,ecb4c1a2-79a5-4966-96d9-fb45f496990f
conrad|caldwell,oklahoma state,175,1930,0.0,25183.0,63c5ef4e-801b-447a-92cc-035033ce4370
floyd|helgerson,ohio state,175,1930,0.0,39347.0,b126735a-739e-41a7-81b3-570d5a12f823
paul|long,pennsylvania state,175,1930,0.0,87470.0,ddcedd12-3b84-43e8-b582-660531e7f639
von|robbins,missouri,175,1930,0.0,109977.0,02faf915-7879-4aac-9f59-7b1d1abb08ca
elton|eubanks,oklahoma,175,1930,0.0,36585.0,50524ec8-7cdc-4351-8a65-f0b7519170e2
